grid_id,center_longitude,center_latitude,area_grid,width_degrees,height_degrees,classes_meeting_threshold,total_pixels,coverage_class_1,coverage_class_2,coverage_class_4,coverage_class_5,coverage_class_7,coverage_class_8,coverage_class_0,coverage_class_3,coverage_class_6,coverage_class_9,coverage_class_10,coverage_class_11,coverage_class_12
grid_501,107.3115279019989,11.558057735690802,4.145788950192732e-05,0.007382038580715289,0.00832440171145521,3,5144,0.10594867807153965,0.10905909797822706,0.21850699844479005,0.0015552099533437014,0.002527216174183515,0.0,0.0,0.04451788491446345,0.49339035769828926,0.0,0.024494556765163298,0.0,0.0
grid_810,108.71317350758689,12.948419985269231,0.0010637926341021937,0.06249981546071126,0.04390471810071972,3,131611,0.11300727142867997,0.007020689759974471,0.12672193053772102,0.010227108676326447,0.00566821922179757,0.1758287681120879,0.0,0.003183624469079332,0.09138293911603133,0.3814118880640676,0.08550956986877997,1.5196298181762923e-05,2.2794447272644383e-05
grid_796,108.72054353355564,12.905219506233589,0.0039062357474119206,0.06250020770018239,0.06250045058562215,3,484416,0.22811178821508785,0.010111144140573392,0.2331343308230942,0.012714278636543798,0.004884231734707359,0.10292806183115338,0.0,0.014987118509710661,0.10481280552252609,0.10302921455938698,0.185214774078478,7.225194873827454e-05,0.0
grid_762,108.59554311968556,12.780220337635862,0.00390623611983738,0.06250020661927636,0.06250044910155239,3,484416,0.10536604901572202,0.1222296538512353,0.04676971858898137,0.04520288347205707,0.10701752212973972,0.009667310741181134,0.0,0.14868212445501386,0.21853117981239265,0.001052814110186286,0.19535275465715418,1.2386048355132779e-05,0.00011560311798123926
grid_569,107.97053896028535,11.842724217039644,0.0039062372160089944,0.06250018905552679,0.06250041981635412,2,484416,0.286749405469679,0.007252031311930242,1.4450389747654908e-05,0.002545332936979786,0.001620507993129872,0.41662744418020875,0.0,0.003986243228960232,0.15865289338089575,8.670233848592945e-05,0.1224154445765623,4.9544193420531116e-05,0.0
grid_592,108.03303999118849,12.030223873211007,0.003906238162723505,0.06250020713599724,0.0625004275942338,2,483720,0.0009488960555693376,0.00037625072355908375,1.2403870007442322e-05,0.17764409162325312,0.0058463573968411476,0.6882866120896386,0.0,0.0009178863805507318,0.0815678491689407,0.03873935334491028,0.005660299346729513,0.0,0.0
grid_316,107.78305648881367,14.155227212132965,0.003906241084525892,0.062500286130458,0.06250054743951772,2,484416,8.463799709340732e-05,0.0002890077949530982,1.651473114017704e-05,0.15640688994583168,0.00988613092878848,0.6795708647113226,0.0,0.00133769322235434,0.08586421588056546,2.8900779495309816e-05,0.06651514400845554,0.0,0.0
grid_336,107.78305749382343,14.280227357683918,0.0039062412883466902,0.06250029083892628,0.06250055487169348,2,484416,0.010270098427797596,0.00019611243228960233,5.1608534813053243e-05,0.4491924296472453,0.027156411018628618,0.1927434271370062,0.0,0.0006337528075042938,0.2874347668119963,0.0038396749900911614,0.028481718192627823,0.0,0.0
grid_433,107.9080627609902,14.967727240847507,0.0039062415201193247,0.06250031251379085,0.0625005856929075,2,483720,0.000500289423633507,0.004874720912924833,0.0,0.15370048788555363,0.036868436285454394,0.6914950797982303,0.0,0.08277929380633424,0.006456214338873729,8.889440172000331e-05,0.023236583147275284,0.0,0.0
grid_784,108.96554903111674,12.81396724273162,6.0152387007902236e-05,0.014481725840667536,0.005947737481939441,2,7468,0.5633369041242635,0.016336368505623994,0.11301553294054634,0.0004017139796464917,0.0005356186395286556,0.0,0.0,0.05463310123192287,0.15372254954472417,0.014059989287627209,0.08395822174611677,0.0,0.0
grid_845,108.47054632345406,13.155221351587139,0.003906236862056895,0.06250022204200434,0.06250047208752463,2,483720,0.001002646158934921,0.0005126932936409493,0.0,0.17905606549243364,0.011657570495327875,0.6433618622343504,0.0,2.4807740014884645e-05,0.15532332754486067,0.004612172331100637,0.004448854709335979,0.0,0.0
